deck_file,format,expected_key,apl_found,apl_class,apl_module,apl_quality,apl_base_class,apl_def_count,match_apl_found,match_apl_class,match_apl_quality,mainboard_count,sideboard_count,load_status,notes
humans_legacy.txt,legacy,humans,yes,HumansAPL,apl.humans,HAND_TUNED,BaseAPL,14,yes,HumansMatchAPL,HAND_TUNED,60,15,ok,
amulet_titan_modern.txt,modern,amulettitan,yes,AmuletTitanAPL,apl.amulet_titan,HAND_TUNED,BaseAPL,56,yes,AmuletTitanMatchAPL,HAND_TUNED,76,0,"ok (intentional, mb=76 sb=0)",
belcher_modern.txt,modern,belcher,yes,BelcherMatchAPL,apl.belcher_match,HAND_TUNED,MatchAPL,6,yes,BelcherMatchAPL,HAND_TUNED,64,0,non-standard mainboard (64),
boros_energy_modern.txt,modern,borosenergy,yes,BorosEnergyAPL,apl.boros_energy,HAND_TUNED,BaseAPL,25,yes,BorosEnergyMatchAPL,HAND_TUNED,75,0,non-standard mainboard (75),
dimir_midrange_modern.txt,modern,dimirmidrange,yes,DimirMidrangeAPL,apl.dimir_midrange,HAND_TUNED,BaseAPL,3,yes,MurktideMatchAPL,HAND_TUNED,60,15,ok,
dimir_murktide_modern.txt,modern,dimirmurktide,yes,MurktideAPL,apl.dimir_murktide,HAND_TUNED,BaseAPL,14,yes,MurktideMatchAPL,HAND_TUNED,60,15,ok,
dimir_oculus_modern.txt,modern,dimiroculus,yes,MurktideAPL,apl.dimir_murktide,HAND_TUNED,BaseAPL,14,yes,DimirExcruciatorStandardMatchAPL,STUB,60,15,ok,
domain_zoo_modern.txt,modern,domainzoo,yes,DomainZooAPL,apl.domain_zoo,HAND_TUNED,BaseAPL,3,yes,DomainZooMatchAPL,HAND_TUNED,60,15,ok,
eldrazi_ramp_modern.txt,modern,eldraziramp,yes,EldraziRampAPL,apl.eldrazi_ramp,HAND_TUNED,BaseAPL,5,yes,EldraziRampMatchAPL,HAND_TUNED,60,15,ok,
eldrazi_tron_modern.txt,modern,eldrazitron,yes,EldraziTronAPL,apl.eldrazi_tron,HAND_TUNED,BaseAPL,20,yes,EldraziTronMatchAPL,HAND_TUNED,75,0,non-standard mainboard (75),
esper_blink_modern.txt,modern,esperblink,yes,EsperBlinkAPL,apl.esper_blink,HAND_TUNED,BaseAPL,3,yes,EsperBlinkMatchAPL,HAND_TUNED,75,0,non-standard mainboard (75),
glockulous_modern.txt,modern,glockulous,yes,GlockulousAPL,apl.glockulous,STUB,GenericAPL,1,yes,GlockulousMatchAPL,HAND_TUNED,58,15,"ok (custom_variant triaged, mb=58 sb=15)",GenericAPL stub
goryos_vengeance_modern.txt,modern,goryosvengeance,yes,GoryoVengeanceAPL,apl.goryo_vengeance,HAND_TUNED,BaseAPL,18,yes,GoryosMatchAPL,HAND_TUNED,75,0,non-standard mainboard (75),
grixis_reanimator_modern.txt,modern,grixisreanimator,yes,GrixisReanimatorMatchAPL,apl.grixis_reanimator_match,HAND_TUNED,MatchAPL,10,yes,GrixisReanimatorMatchAPL,HAND_TUNED,66,0,non-standard mainboard (66),
humans_modern.txt,modern,humans,yes,HumansAPL,apl.humans,HAND_TUNED,BaseAPL,14,yes,HumansMatchAPL,HAND_TUNED,75,0,non-standard mainboard (75),
izzet_affinity_modern.txt,modern,izzetaffinity,yes,IzzetAffinityAPL,apl.izzet_affinity,HAND_TUNED,BaseAPL,17,yes,IzzetAffinityMatchAPL,UNKNOWN_BASE,75,0,non-standard mainboard (75),
