Azorius High Noon -- 12 matchups, 30 G1 games each, lock enforcement WIRED

Matchup                            WR
----------------------------------------
  Selesnya Landfall          14/30 (47%)
  Bant Airbending            15/30 (50%)
  Simic Rhythm               22/30 (73%)
  Sultai Reanimator          21/30 (70%)
  Izzet Lessons              18/30 (60%)
  Izzet Spellementals        24/30 (80%)
  Mono Green Landfall        22/30 (73%)
  Izzet Prowess              20/30 (67%)
  Jeskai Control             22/30 (73%)
  Bant Rhythm                22/30 (73%)
  Selesnya Ouroboroid        22/30 (73%)
  Gruul Aggro                17/30 (57%)
