card,decks_present_in,total_copies,status,bucket,suggested_registry,oracle_summary
Consign to Memory,10,35,registered,SPELL,SPELL_EFFECTS,
Prismatic Ending,8,16,registered,SPELL,SPELL_EFFECTS,
Mystical Dispute,7,16,registered,SPELL,SPELL_EFFECTS,
Blood Moon,7,11,registered,ETB,ETB_EFFECTS,
Solitude,6,23,registered,ETB,ETB_EFFECTS,
Wrath of the Skies,6,18,registered,SPELL,SPELL_EFFECTS,
Orim's Chant,6,17,registered,SPELL,SPELL_EFFECTS,
Thoughtseize,5,20,registered,SPELL,SPELL_EFFECTS,
Fatal Push,5,19,registered,SPELL,SPELL_EFFECTS,
Quantum Riddler,5,19,registered,ETB,ETB_EFFECTS,
Ephemerate,5,16,registered,SPELL,SPELL_EFFECTS,
Lightning Bolt,5,16,registered,SPELL,SPELL_EFFECTS,
High Noon,5,10,registered,ETB,ETB_EFFECTS,
"Teferi, Time Raveler",5,9,registered,ETB,ETB_EFFECTS,
Clarion Conqueror,5,7,registered,ETB,ETB_EFFECTS,
Vexing Bauble,5,7,registered,ETB,ETB_EFFECTS,
"Phelia, Exuberant Shepherd",4,16,registered,ETB,ETB_EFFECTS,
Psychic Frog,4,15,registered,ETB,ETB_EFFECTS,
"Ragavan, Nimble Pilferer",4,15,registered,ETB,ETB_EFFECTS,
Emperor of Bones,4,11,registered,ETB,ETB_EFFECTS,
Damping Sphere,4,10,registered,ETB,ETB_EFFECTS,
Spell Snare,4,8,registered,SPELL,SPELL_EFFECTS,
Dismember,4,7,registered,SPELL,SPELL_EFFECTS,
Spell Pierce,4,6,registered,SPELL,SPELL_EFFECTS,
Wear // Tear,4,6,registered,SPELL,SPELL_EFFECTS,
Surgical Extraction,4,5,registered,SPELL,SPELL_EFFECTS,
Desperate Ritual,3,12,registered,SPELL,SPELL_EFFECTS,
Guide of Souls,3,12,registered,ETB,ETB_EFFECTS,
Manamorphose,3,12,registered,SPELL,SPELL_EFFECTS,
Mishra's Bauble,3,12,registered,ETB,ETB_EFFECTS,
Overlord of the Balemurk,3,12,registered,ETB,ETB_EFFECTS,
Past in Flames,3,12,registered,SPELL,SPELL_EFFECTS,
Pyretic Ritual,3,12,registered,SPELL,SPELL_EFFECTS,
Reckless Impulse,3,12,registered,SPELL,SPELL_EFFECTS,
Ruby Medallion,3,12,registered,ETB,ETB_EFFECTS,
Witch Enchanter,3,12,registered,ETB,ETB_EFFECTS,
Wrenn's Resolve,3,12,registered,SPELL,SPELL_EFFECTS,
"Phlage, Titan of Fire's Fury",3,11,registered,ETB,ETB_EFFECTS,
Unholy Heat,3,11,registered,SPELL,SPELL_EFFECTS,
Counterspell,3,10,registered,SPELL,SPELL_EFFECTS,
Glimpse the Impossible,3,9,registered,SPELL,SPELL_EFFECTS,
Force of Negation,3,8,registered,SPELL,SPELL_EFFECTS,
Nihil Spellbomb,3,8,registered,ETB,ETB_EFFECTS,
Unearth,3,8,registered,SPELL,SPELL_EFFECTS,
Force of Vigor,3,7,registered,SPELL,SPELL_EFFECTS,
Murktide Regent,3,7,registered,ETB,ETB_EFFECTS,
Sanctifier en-Vec,3,7,registered,ETB,ETB_EFFECTS,
Subtlety,3,7,registered,ETB,ETB_EFFECTS,
Wear / Tear,3,6,registered,SPELL,SPELL_EFFECTS,
Wish,3,6,registered,SPELL,SPELL_EFFECTS,
Endurance,3,5,registered,ETB,ETB_EFFECTS,
Grapeshot,3,5,registered,SPELL,SPELL_EFFECTS,
Trinisphere,3,5,registered,ETB,ETB_EFFECTS,
Artist's Talent,3,4,registered,ETB,ETB_EFFECTS,
Brotherhood's End,3,3,registered,SPELL,SPELL_EFFECTS,
Celestial Purge,3,3,registered,SPELL,SPELL_EFFECTS,
Empty the Warrens,3,3,registered,SPELL,SPELL_EFFECTS,
Meltdown,3,3,registered,SPELL,SPELL_EFFECTS,
Pithing Needle,3,3,registered,ETB,ETB_EFFECTS,
Consider,2,8,registered,SPELL,SPELL_EFFECTS,
Expressive Iteration,2,8,registered,SPELL,SPELL_EFFECTS,
Galvanic Discharge,2,8,registered,SPELL,SPELL_EFFECTS,
Kozilek's Command,2,8,registered,SPELL,SPELL_EFFECTS,
Monastery Swiftspear,2,8,registered,ETB,ETB_EFFECTS,
Ocelot Pride,2,8,registered,ETB,ETB_EFFECTS,
Preordain,2,8,registered,SPELL,SPELL_EFFECTS,
"Ral, Monsoon Mage",2,8,registered,ETB,ETB_EFFECTS,
Sowing Mycospawn,2,8,registered,ETB,ETB_EFFECTS,
Thought Scour,2,8,registered,SPELL,SPELL_EFFECTS,
Dragon's Rage Channeler,2,7,registered,ETB,ETB_EFFECTS,
Eldritch Evolution,2,7,registered,SPELL,SPELL_EFFECTS,
Harbinger of the Seas,2,7,registered,ETB,ETB_EFFECTS,
Malevolent Rumble,2,7,registered,SPELL,SPELL_EFFECTS,
Devourer of Destiny,2,6,registered,ETB,ETB_EFFECTS,
Disruptor Flute,2,6,registered,ETB,ETB_EFFECTS,
Engineered Explosives,2,6,registered,ETB,ETB_EFFECTS,
Flickerwisp,2,6,registered,ETB,ETB_EFFECTS,
Summoner's Pact,2,6,registered,SPELL,SPELL_EFFECTS,
Talisman of Impulse,2,6,registered,ETB,ETB_EFFECTS,
"Ugin, Eye of the Storms",2,6,registered,SPELL,SPELL_EFFECTS,
"Atraxa, Grand Unifier",2,5,registered,ETB,ETB_EFFECTS,
Obsidian Charmaw,2,5,registered,ETB,ETB_EFFECTS,
Thraben Charm,2,5,registered,SPELL,SPELL_EFFECTS,
Veil of Summer,2,5,registered,SPELL,SPELL_EFFECTS,
Tormod's Crypt,2,4,registered,ETB,ETB_EFFECTS,
Valakut Awakening,2,4,registered,SPELL,SPELL_EFFECTS,
"Ashiok, Dream Render",2,3,registered,ETB,ETB_EFFECTS,
Chalice of the Void,2,3,registered,ETB,ETB_EFFECTS,
Dress Down,2,3,registered,ETB,ETB_EFFECTS,
Haywire Mite,2,3,registered,ETB,ETB_EFFECTS,
March of Otherworldly Light,2,3,registered,SPELL,SPELL_EFFECTS,
Rest in Peace,2,3,registered,ETB,ETB_EFFECTS,
Stern Scolding,2,3,registered,SPELL,SPELL_EFFECTS,
Boggart Trawler,2,2,registered,ETB,ETB_EFFECTS,
Grafdigger's Cage,2,2,registered,ETB,ETB_EFFECTS,
Griselbrand,2,2,registered,ETB,ETB_EFFECTS,
Icetill Explorer,2,2,registered,ETB,ETB_EFFECTS,
March of Reckless Joy,2,2,registered,SPELL,SPELL_EFFECTS,
Mockingbird,2,2,registered,ETB,ETB_EFFECTS,
Abhorrent Oculus,1,4,registered,ETB,ETB_EFFECTS,
Aether Vial,1,4,registered,ETB,ETB_EFFECTS,
"Ajani, Nacatl Pariah",1,4,registered,ETB,ETB_EFFECTS,
Allosaurus Rider,1,4,registered,ETB,ETB_EFFECTS,
Amulet of Vigor,1,4,registered,ETB,ETB_EFFECTS,
Arboreal Grazer,1,4,registered,ETB,ETB_EFFECTS,
Archon of Cruelty,1,4,registered,ETB,ETB_EFFECTS,
Boros Charm,1,4,registered,SPELL,SPELL_EFFECTS,
Champion of the Parish,1,4,registered,ETB,ETB_EFFECTS,
Chancellor of the Tangle,1,4,registered,ETB,ETB_EFFECTS,
Chord of Calling,1,4,registered,SPELL,SPELL_EFFECTS,
Collected Company,1,4,registered,SPELL,SPELL_EFFECTS,
Coppercoat Vanguard,1,4,registered,ETB,ETB_EFFECTS,
Cori-Steel Cutter,1,4,registered,ETB,ETB_EFFECTS,
Curator of Mysteries,1,4,registered,ETB,ETB_EFFECTS,
Expedition Map,1,4,registered,ETB,ETB_EFFECTS,
Faithless Looting,1,4,registered,BOTH_SPELL_FAMILY,SPELL+FAMILY,
Geralf's Messenger,1,4,registered,ETB,ETB_EFFECTS,
Goblin Guide,1,4,registered,ETB,ETB_EFFECTS,
Goryo's Vengeance,1,4,registered,SPELL,SPELL_EFFECTS,
Horror of the Broken Lands,1,4,registered,ETB,ETB_EFFECTS,
Kappa Cannoneer,1,4,registered,ETB,ETB_EFFECTS,
"Karn, the Great Creator",1,4,registered,ETB,ETB_EFFECTS,
Lava Dart,1,4,registered,SPELL,SPELL_EFFECTS,
Lava Spike,1,4,registered,SPELL,SPELL_EFFECTS,
Ledger Shredder,1,4,registered,ETB,ETB_EFFECTS,
Leyline Binding,1,4,registered,ETB,ETB_EFFECTS,
Leyline of the Guildpact,1,4,registered,ETB,ETB_EFFECTS,
Living End,1,4,registered,SPELL,SPELL_EFFECTS,
Meddling Mage,1,4,registered,ETB,ETB_EFFECTS,
Monstrous Carabid,1,4,registered,ETB,ETB_EFFECTS,
Mox Opal,1,4,registered,ETB,ETB_EFFECTS,
Mutagenic Growth,1,4,registered,SPELL,SPELL_EFFECTS,
Neoform,1,4,registered,SPELL,SPELL_EFFECTS,
Noble Hierarch,1,4,registered,ETB,ETB_EFFECTS,
Pact of Negation,1,4,registered,SPELL,SPELL_EFFECTS,
Persist,1,4,registered,SPELL,SPELL_EFFECTS,
Pinnacle Emissary,1,4,registered,ETB,ETB_EFFECTS,
Planar Genesis,1,4,registered,SPELL,SPELL_EFFECTS,
Primeval Titan,1,4,registered,ETB,ETB_EFFECTS,
Rift Bolt,1,4,registered,SPELL,SPELL_EFFECTS,
Roiling Vortex,1,4,registered,ETB,ETB_EFFECTS,
Scapeshift,1,4,registered,SPELL,SPELL_EFFECTS,
Scion of Draco,1,4,registered,ETB,ETB_EFFECTS,
Searing Blaze,1,4,registered,SPELL,SPELL_EFFECTS,
Skewer the Critics,1,4,registered,SPELL,SPELL_EFFECTS,
Slickshot Show-Off,1,4,registered,ETB,ETB_EFFECTS,
Spelunking,1,4,registered,ETB,ETB_EFFECTS,
Street Wraith,1,4,registered,ETB,ETB_EFFECTS,
Stubborn Denial,1,4,registered,SPELL,SPELL_EFFECTS,
Talisman of Resilience,1,4,registered,ETB,ETB_EFFECTS,
Territorial Kavu,1,4,registered,ETB,ETB_EFFECTS,
Thalia's Lieutenant,1,4,registered,ETB,ETB_EFFECTS,
Thought-Knot Seer,1,4,registered,ETB,ETB_EFFECTS,
Utopia Sprawl,1,4,registered,ETB,ETB_EFFECTS,
Violent Outburst,1,4,registered,SPELL,SPELL_EFFECTS,
Weapons Manufacturing,1,4,registered,ETB,ETB_EFFECTS,
White Orchid Phantom,1,4,registered,ETB,ETB_EFFECTS,
Young Wolf,1,4,registered,ETB,ETB_EFFECTS,
Ardent Plea,1,3,registered,ETB,ETB_EFFECTS,
Claws of Gix,1,3,registered,ETB,ETB_EFFECTS,
Doorkeeper Thrull,1,3,registered,ETB,ETB_EFFECTS,
"Emrakul, the Promised End",1,3,registered,ETB,ETB_EFFECTS,
"Emry, Lurker of the Loch",1,3,registered,ETB,ETB_EFFECTS,
Exquisite Firecraft,1,3,registered,SPELL,SPELL_EFFECTS,
Foundation Breaker,1,3,registered,ETB,ETB_EFFECTS,
Generous Ent,1,3,registered,ETB,ETB_EFFECTS,
Goblin Bombardment,1,3,registered,ETB,ETB_EFFECTS,
Green Sun's Zenith,1,3,registered,SPELL,SPELL_EFFECTS,
Hooting Mandrills,1,3,registered,ETB,ETB_EFFECTS,
Kozilek's Return,1,3,registered,SPELL,SPELL_EFFECTS,
"Narset, Parter of Veils",1,3,registered,ETB,ETB_EFFECTS,
Orcish Bowmasters,1,3,registered,ETB,ETB_EFFECTS,
Starfield Shepherd,1,3,registered,ETB,ETB_EFFECTS,
The Legend of Roku,1,3,registered,ETB,ETB_EFFECTS,
Tribal Flames,1,3,registered,SPELL,SPELL_EFFECTS,
Untimely Malfunction,1,3,registered,SPELL,SPELL_EFFECTS,
Violent Urge,1,3,registered,SPELL,SPELL_EFFECTS,
"Yawgmoth, Thran Physician",1,3,registered,ETB,ETB_EFFECTS,
"Adeline, Resplendent Cathar",1,2,registered,ETB,ETB_EFFECTS,
Ancient Stirrings,1,2,registered,SPELL,SPELL_EFFECTS,
Arcbound Ravager,1,2,registered,ETB,ETB_EFFECTS,
Blood Artist,1,2,registered,ETB,ETB_EFFECTS,
Bloodline Cultivator,1,2,registered,ETB,ETB_EFFECTS,
"Casey Jones, Vigilante",1,2,registered,ETB,ETB_EFFECTS,
Commandeer,1,2,registered,SPELL,SPELL_EFFECTS,
Deflecting Palm,1,2,registered,SPELL,SPELL_EFFECTS,
Drown in the Loch,1,2,registered,SPELL,SPELL_EFFECTS,
Esper Sentinel,1,2,registered,ETB,ETB_EFFECTS,
Fade from History,1,2,registered,SPELL,SPELL_EFFECTS,
Fire Magic,1,2,registered,SPELL,SPELL_EFFECTS,
Flusterstorm,1,2,registered,SPELL,SPELL_EFFECTS,
Formidable Speaker,1,2,registered,ETB,ETB_EFFECTS,
Fulminator Mage,1,2,registered,ETB,ETB_EFFECTS,
Galvanic Blast,1,2,registered,SPELL,SPELL_EFFECTS,
"Ghalta, Stampede Tyrant",1,2,registered,ETB,ETB_EFFECTS,
Grief,1,2,registered,ETB,ETB_EFFECTS,
"Grist, the Hunger Tide",1,2,registered,ETB,ETB_EFFECTS,
Hallowed Moonlight,1,2,registered,SPELL,SPELL_EFFECTS,
"Hapatra, Vizier of Poisons",1,2,registered,ETB,ETB_EFFECTS,
Inevitable Betrayal,1,2,registered,SPELL,SPELL_EFFECTS,
Into the Flood Maw,1,2,registered,SPELL,SPELL_EFFECTS,
Isochron Scepter,1,2,registered,ETB,ETB_EFFECTS,
"Jirina, Dauntless General",1,2,registered,ETB,ETB_EFFECTS,
"Kataki, War's Wage",1,2,registered,ETB,ETB_EFFECTS,
Lightning Helix,1,2,registered,SPELL,SPELL_EFFECTS,
Magebane Lizard,1,2,registered,ETB,ETB_EFFECTS,
Mantis Rider,1,2,registered,ETB,ETB_EFFECTS,
"Melira, Sylvok Outcast",1,2,registered,ETB,ETB_EFFECTS,
Metallic Rebuke,1,2,registered,SPELL,SPELL_EFFECTS,
Nature's Claim,1,2,registered,SPELL,SPELL_EFFECTS,
Pest Control,1,2,registered,SPELL,SPELL_EFFECTS,
Phantasmal Image,1,2,registered,ETB,ETB_EFFECTS,
Plague Engineer,1,2,registered,ETB,ETB_EFFECTS,
Pyroclasm,1,2,registered,SPELL,SPELL_EFFECTS,
Reflector Mage,1,2,registered,ETB,ETB_EFFECTS,
"Renata, Called to the Hunt",1,2,registered,ETB,ETB_EFFECTS,
