card,format,decks_present_in,total_copies,bucket,suggested_registry,oracle_summary
Consign to Memory,modern,10,35,REGISTERED,SPELL,
Prismatic Ending,modern,9,18,REGISTERED,SPELL,
Mystical Dispute,modern,7,16,REGISTERED,SPELL,
Blood Moon,modern,7,11,REGISTERED,ETB,
Solitude,modern,6,23,REGISTERED,ETB,
Wrath of the Skies,modern,6,18,REGISTERED,SPELL,
Orim's Chant,modern,6,16,REGISTERED,SPELL,
Thoughtseize,modern,5,20,REGISTERED,SPELL,
Fatal Push,modern,5,19,REGISTERED,SPELL,
Quantum Riddler,modern,5,19,REGISTERED,ETB,
Ephemerate,modern,5,16,REGISTERED,SPELL,
Lightning Bolt,modern,5,16,REGISTERED,SPELL,
High Noon,modern,5,10,REGISTERED,ETB,
"Teferi, Time Raveler",modern,5,9,REGISTERED,ETB,
Clarion Conqueror,modern,5,7,REGISTERED,ETB,
Vexing Bauble,modern,5,7,REGISTERED,ETB,
"Phelia, Exuberant Shepherd",modern,4,16,REGISTERED,ETB,
Psychic Frog,modern,4,15,REGISTERED,ETB,
"Ragavan, Nimble Pilferer",modern,4,15,REGISTERED,ETB,
Emperor of Bones,modern,4,11,REGISTERED,ETB,
Damping Sphere,modern,4,10,REGISTERED,ETB,
Spell Snare,modern,4,8,REGISTERED,SPELL,
Wear / Tear,modern,4,8,REGISTERED,SPELL,
Dismember,modern,4,7,REGISTERED,SPELL,
Spell Pierce,modern,4,6,REGISTERED,SPELL,
Surgical Extraction,modern,4,5,REGISTERED,SPELL,
Brotherhood's End,modern,4,4,REGISTERED,SPELL,
Desperate Ritual,modern,3,12,REGISTERED,SPELL,
Guide of Souls,modern,3,12,REGISTERED,ETB,
Manamorphose,modern,3,12,REGISTERED,SPELL,
Mishra's Bauble,modern,3,12,REGISTERED,ETB,
Overlord of the Balemurk,modern,3,12,REGISTERED,ETB,
Past in Flames,modern,3,12,REGISTERED,SPELL,
Pyretic Ritual,modern,3,12,REGISTERED,SPELL,
"Ral, Monsoon Mage",modern,3,12,REGISTERED,ETB,
Reckless Impulse,modern,3,12,REGISTERED,SPELL,
Ruby Medallion,modern,3,12,REGISTERED,ETB,
Witch Enchanter,modern,3,12,REGISTERED,ETB,
Wrenn's Resolve,modern,3,12,REGISTERED,SPELL,
"Phlage, Titan of Fire's Fury",modern,3,11,REGISTERED,ETB,
Unholy Heat,modern,3,11,REGISTERED,SPELL,
Counterspell,modern,3,10,REGISTERED,SPELL,
Glimpse the Impossible,modern,3,10,REGISTERED,SPELL,
Force of Negation,modern,3,8,REGISTERED,SPELL,
Nihil Spellbomb,modern,3,8,REGISTERED,ETB,
Unearth,modern,3,8,REGISTERED,SPELL,
Force of Vigor,modern,3,7,REGISTERED,SPELL,
Murktide Regent,modern,3,7,REGISTERED,ETB,
Sanctifier en-Vec,modern,3,7,REGISTERED,ETB,
Subtlety,modern,3,7,REGISTERED,ETB,
Wish,modern,3,7,REGISTERED,SPELL,
Valakut Awakening,modern,3,6,REGISTERED,SPELL,
Endurance,modern,3,5,REGISTERED,ETB,
Trinisphere,modern,3,5,REGISTERED,ETB,
Grapeshot,modern,3,4,REGISTERED,SPELL,
March of Otherworldly Light,modern,3,4,REGISTERED,SPELL,
Wear // Tear,modern,3,4,REGISTERED,SPELL,
Artist's Talent,modern,3,3,REGISTERED,ETB,
Celestial Purge,modern,3,3,REGISTERED,SPELL,
Empty the Warrens,modern,3,3,REGISTERED,SPELL,
Pithing Needle,modern,3,3,REGISTERED,ETB,
Consider,modern,2,8,REGISTERED,SPELL,
Expressive Iteration,modern,2,8,REGISTERED,SPELL,
Galvanic Discharge,modern,2,8,REGISTERED,SPELL,
Kozilek's Command,modern,2,8,REGISTERED,SPELL,
Monastery Swiftspear,modern,2,8,REGISTERED,ETB,
Ocelot Pride,modern,2,8,REGISTERED,ETB,
Preordain,modern,2,8,REGISTERED,SPELL,
Sowing Mycospawn,modern,2,8,REGISTERED,ETB,
Thought Scour,modern,2,8,REGISTERED,SPELL,
Dragon's Rage Channeler,modern,2,7,REGISTERED,ETB,
Eldritch Evolution,modern,2,7,REGISTERED,SPELL,
Harbinger of the Seas,modern,2,7,REGISTERED,ETB,
Malevolent Rumble,modern,2,7,REGISTERED,SPELL,
Devourer of Destiny,modern,2,6,REGISTERED,ETB,
Disruptor Flute,modern,2,6,REGISTERED,ETB,
Engineered Explosives,modern,2,6,REGISTERED,ETB,
Flickerwisp,modern,2,6,REGISTERED,ETB,
Summoner's Pact,modern,2,6,REGISTERED,SPELL,
Talisman of Impulse,modern,2,6,REGISTERED,ETB,
"Ugin, Eye of the Storms",modern,2,6,REGISTERED,SPELL,
"Atraxa, Grand Unifier",modern,2,5,REGISTERED,ETB,
Obsidian Charmaw,modern,2,5,REGISTERED,ETB,
Thraben Charm,modern,2,5,REGISTERED,SPELL,
Veil of Summer,modern,2,5,REGISTERED,SPELL,
Tormod's Crypt,modern,2,4,REGISTERED,ETB,
"Ashiok, Dream Render",modern,2,3,REGISTERED,ETB,
Chalice of the Void,modern,2,3,REGISTERED,ETB,
Dress Down,modern,2,3,REGISTERED,ETB,
Haywire Mite,modern,2,3,REGISTERED,ETB,
Rest in Peace,modern,2,3,REGISTERED,ETB,
Stern Scolding,modern,2,3,REGISTERED,SPELL,
Boggart Trawler,modern,2,2,REGISTERED,ETB,
Grafdigger's Cage,modern,2,2,REGISTERED,ETB,
Griselbrand,modern,2,2,REGISTERED,ETB,
Icetill Explorer,modern,2,2,REGISTERED,ETB,
March of Reckless Joy,modern,2,2,REGISTERED,SPELL,
Meltdown,modern,2,2,REGISTERED,SPELL,
Mockingbird,modern,2,2,REGISTERED,ETB,
Abhorrent Oculus,modern,1,4,REGISTERED,ETB,
Aether Vial,modern,1,4,REGISTERED,ETB,
"Ajani, Nacatl Pariah",modern,1,4,REGISTERED,ETB,
Allosaurus Rider,modern,1,4,REGISTERED,ETB,
Amulet of Vigor,modern,1,4,REGISTERED,ETB,
Arboreal Grazer,modern,1,4,REGISTERED,ETB,
Archon of Cruelty,modern,1,4,REGISTERED,ETB,
Boros Charm,modern,1,4,REGISTERED,SPELL,
Champion of the Parish,modern,1,4,REGISTERED,ETB,
Chancellor of the Tangle,modern,1,4,REGISTERED,ETB,
Chord of Calling,modern,1,4,REGISTERED,SPELL,
Collected Company,modern,1,4,REGISTERED,SPELL,
Coppercoat Vanguard,modern,1,4,REGISTERED,ETB,
Cori-Steel Cutter,modern,1,4,REGISTERED,ETB,
Curator of Mysteries,modern,1,4,REGISTERED,ETB,
Expedition Map,modern,1,4,REGISTERED,ETB,
Faithless Looting,modern,1,4,REGISTERED,SPELL+FAMILY,
Geralf's Messenger,modern,1,4,REGISTERED,ETB,
Goblin Guide,modern,1,4,REGISTERED,ETB,
Goryo's Vengeance,modern,1,4,REGISTERED,SPELL,
Horror of the Broken Lands,modern,1,4,REGISTERED,ETB,
Kappa Cannoneer,modern,1,4,REGISTERED,ETB,
"Karn, the Great Creator",modern,1,4,REGISTERED,ETB,
Lava Dart,modern,1,4,REGISTERED,SPELL,
Lava Spike,modern,1,4,REGISTERED,SPELL,
Ledger Shredder,modern,1,4,REGISTERED,ETB,
Leyline Binding,modern,1,4,REGISTERED,ETB,
Leyline of the Guildpact,modern,1,4,REGISTERED,ETB,
Living End,modern,1,4,REGISTERED,SPELL,
Meddling Mage,modern,1,4,REGISTERED,ETB,
Monstrous Carabid,modern,1,4,REGISTERED,ETB,
Mox Opal,modern,1,4,REGISTERED,ETB,
Mutagenic Growth,modern,1,4,REGISTERED,SPELL,
Neoform,modern,1,4,REGISTERED,SPELL,
Noble Hierarch,modern,1,4,REGISTERED,ETB,
Pact of Negation,modern,1,4,REGISTERED,SPELL,
Persist,modern,1,4,REGISTERED,SPELL,
Pinnacle Emissary,modern,1,4,REGISTERED,ETB,
Planar Genesis,modern,1,4,REGISTERED,SPELL,
Primeval Titan,modern,1,4,REGISTERED,ETB,
Rift Bolt,modern,1,4,REGISTERED,SPELL,
Roiling Vortex,modern,1,4,REGISTERED,ETB,
Scapeshift,modern,1,4,REGISTERED,SPELL,
Scion of Draco,modern,1,4,REGISTERED,ETB,
Searing Blaze,modern,1,4,REGISTERED,SPELL,
Skewer the Critics,modern,1,4,REGISTERED,SPELL,
Slickshot Show-Off,modern,1,4,REGISTERED,ETB,
Spelunking,modern,1,4,REGISTERED,ETB,
Street Wraith,modern,1,4,REGISTERED,ETB,
Stubborn Denial,modern,1,4,REGISTERED,SPELL,
Talisman of Resilience,modern,1,4,REGISTERED,ETB,
Territorial Kavu,modern,1,4,REGISTERED,ETB,
Thalia's Lieutenant,modern,1,4,REGISTERED,ETB,
Thought-Knot Seer,modern,1,4,REGISTERED,ETB,
Utopia Sprawl,modern,1,4,REGISTERED,ETB,
Violent Outburst,modern,1,4,REGISTERED,SPELL,
Weapons Manufacturing,modern,1,4,REGISTERED,ETB,
White Orchid Phantom,modern,1,4,REGISTERED,ETB,
Young Wolf,modern,1,4,REGISTERED,ETB,
Ardent Plea,modern,1,3,REGISTERED,ETB,
Claws of Gix,modern,1,3,REGISTERED,ETB,
Doorkeeper Thrull,modern,1,3,REGISTERED,ETB,
"Emrakul, the Promised End",modern,1,3,REGISTERED,ETB,
"Emry, Lurker of the Loch",modern,1,3,REGISTERED,ETB,
Exquisite Firecraft,modern,1,3,REGISTERED,SPELL,
Foundation Breaker,modern,1,3,REGISTERED,ETB,
Generous Ent,modern,1,3,REGISTERED,ETB,
Goblin Bombardment,modern,1,3,REGISTERED,ETB,
Green Sun's Zenith,modern,1,3,REGISTERED,SPELL,
Hooting Mandrills,modern,1,3,REGISTERED,ETB,
Kozilek's Return,modern,1,3,REGISTERED,SPELL,
"Narset, Parter of Veils",modern,1,3,REGISTERED,ETB,
Orcish Bowmasters,modern,1,3,REGISTERED,ETB,
Starfield Shepherd,modern,1,3,REGISTERED,ETB,
The Legend of Roku,modern,1,3,REGISTERED,ETB,
Tribal Flames,modern,1,3,REGISTERED,SPELL,
Violent Urge,modern,1,3,REGISTERED,SPELL,
"Yawgmoth, Thran Physician",modern,1,3,REGISTERED,ETB,
"Adeline, Resplendent Cathar",modern,1,2,REGISTERED,ETB,
Ancient Stirrings,modern,1,2,REGISTERED,SPELL,
Arcbound Ravager,modern,1,2,REGISTERED,ETB,
Blood Artist,modern,1,2,REGISTERED,ETB,
Bloodline Cultivator,modern,1,2,REGISTERED,ETB,
"Casey Jones, Vigilante",modern,1,2,REGISTERED,ETB,
Commandeer,modern,1,2,REGISTERED,SPELL,
Deflecting Palm,modern,1,2,REGISTERED,SPELL,
Drown in the Loch,modern,1,2,REGISTERED,SPELL,
Esper Sentinel,modern,1,2,REGISTERED,ETB,
Fade from History,modern,1,2,REGISTERED,SPELL,
Fire Magic,modern,1,2,REGISTERED,SPELL,
Flusterstorm,modern,1,2,REGISTERED,SPELL,
Formidable Speaker,modern,1,2,REGISTERED,ETB,
Fulminator Mage,modern,1,2,REGISTERED,ETB,
Galvanic Blast,modern,1,2,REGISTERED,SPELL,
"Ghalta, Stampede Tyrant",modern,1,2,REGISTERED,ETB,
Grief,modern,1,2,REGISTERED,ETB,
"Grist, the Hunger Tide",modern,1,2,REGISTERED,ETB,
Hallowed Moonlight,modern,1,2,REGISTERED,SPELL,
"Hapatra, Vizier of Poisons",modern,1,2,REGISTERED,ETB,
Inevitable Betrayal,modern,1,2,REGISTERED,SPELL,
Into the Flood Maw,modern,1,2,REGISTERED,SPELL,
Isochron Scepter,modern,1,2,REGISTERED,ETB,
"Jirina, Dauntless General",modern,1,2,REGISTERED,ETB,
"Kataki, War's Wage",modern,1,2,REGISTERED,ETB,
Lightning Helix,modern,1,2,REGISTERED,SPELL,
Magebane Lizard,modern,1,2,REGISTERED,ETB,
Mantis Rider,modern,1,2,REGISTERED,ETB,
"Melira, Sylvok Outcast",modern,1,2,REGISTERED,ETB,
Metallic Rebuke,modern,1,2,REGISTERED,SPELL,
Nature's Claim,modern,1,2,REGISTERED,SPELL,
Pest Control,modern,1,2,REGISTERED,SPELL,
Phantasmal Image,modern,1,2,REGISTERED,ETB,
Plague Engineer,modern,1,2,REGISTERED,ETB,
Pyroclasm,modern,1,2,REGISTERED,SPELL,
Reflector Mage,modern,1,2,REGISTERED,ETB,
"Renata, Called to the Hunt",modern,1,2,REGISTERED,ETB,
Seasoned Pyromancer,modern,1,2,REGISTERED,ETB,
Shoot the Sheriff,modern,1,2,REGISTERED,SPELL,
Sink into Stupor,modern,1,2,REGISTERED,SPELL,
Skullcrack,modern,1,2,REGISTERED,SPELL,
Smash to Smithereens,modern,1,2,REGISTERED,SPELL,
Soulless Jailer,modern,1,2,REGISTERED,ETB,
Stock Up,modern,1,2,REGISTERED,SPELL,
Stony Silence,modern,1,2,REGISTERED,ETB,
Strix Serenade,modern,1,2,REGISTERED,SPELL,
Supreme Verdict,modern,1,2,REGISTERED,SPELL,
"Thalia, Guardian of Thraben",modern,1,2,REGISTERED,ETB,
Troll of Khazad-dûm,modern,1,2,REGISTERED,ETB,
Tune the Narrative,modern,1,2,REGISTERED,SPELL,
"Ulamog, the Ceaseless Hunger",modern,1,2,REGISTERED,SPELL,
Waker of Waves,modern,1,2,REGISTERED,ETB,
Whipflare,modern,1,2,REGISTERED,SPELL,
World Breaker,modern,1,2,REGISTERED,SPELL,
Accursed Marauder,modern,1,1,REGISTERED,ETB,
Aether Spellbomb,modern,1,1,REGISTERED,ETB,
Aftermath Analyst,modern,1,1,REGISTERED,ETB,
Agatha's Soul Cauldron,modern,1,1,REGISTERED,ETB,
Alchemist's Gambit,modern,1,1,REGISTERED,SPELL,
"Beza, the Bounding Spring",modern,1,1,REGISTERED,ETB,
Collector Ouphe,modern,1,1,REGISTERED,ETB,
Cultivator Colossus,modern,1,1,REGISTERED,ETB,
Cursed Totem,modern,1,1,REGISTERED,ETB,
