card,deck,timing,status,kinds,cost,max_tgh,detail
Abrupt Decay,5_color_niv_mizzet_pioneer.txt,instant,DERIVED,REMOVAL_DESTROY,2,,
Dovin's Veto,5_color_niv_mizzet_pioneer.txt,instant,DERIVED,COUNTER_NONCREATURE,2,,
Kolaghan's Command,5_color_niv_mizzet_pioneer.txt,instant,UNHANDLED,,,,bounce-unparsed:Return target creature card from your graveyard to your hand
Leyline Binding,5_color_niv_mizzet_pioneer.txt,flash,UNHANDLED,,,,cost-reduction-static
Lightning Helix,5_color_niv_mizzet_pioneer.txt,instant,DERIVED,REMOVAL_DMG_N,2,3,
Vanishing Verse,5_color_niv_mizzet_pioneer.txt,instant,UNHANDLED,,,,exile-rider:monocolored permanent
Doorkeeper Thrull,abzan_greasefang_pioneer.txt,flash,INERT,,,,
Fatal Push,abzan_greasefang_pioneer.txt,instant,WHITELIST_FALLBACK,,,,destroy-unparsed:Destroy target creature if it has mana value 2 or less.
Vanishing Verse,abzan_greasefang_pioneer.txt,instant,UNHANDLED,,,,exile-rider:monocolored permanent
Dismember,amulet_titan_modern.txt,instant,DERIVED,REMOVAL_DMG_N,3,5,
Fire Magic,amulet_titan_modern.txt,instant,WHITELIST_FALLBACK,,,,additional-cost-modes:tiered
Force of Vigor,amulet_titan_modern.txt,instant,INERT,,,,alt-pitch-cost
Summoner's Pact,amulet_titan_modern.txt,instant,INERT,,,,
Deepway Navigator,azorius_aggro_standard.txt,flash,INERT,,,,
Disruptor of Currents,azorius_aggro_standard.txt,flash,INERT,,,,
Floodpits Drowner,azorius_aggro_standard.txt,flash,INERT,,,,
Get Lost,azorius_aggro_standard.txt,instant,DERIVED,REMOVAL_DESTROY,2,,
Negate,azorius_aggro_standard.txt,instant,DERIVED,COUNTER_NONCREATURE,2,,
Spell Pierce,azorius_aggro_standard.txt,instant,DERIVED,COUNTER_NONCREATURE,1,,
Three Steps Ahead,azorius_aggro_standard.txt,instant,UNHANDLED,,,,additional-cost-modes:spree
Tishana's Tidebinder,azorius_aggro_standard.txt,flash,INERT,,,,
"Aang, Swift Savior",azorius_blink_standard.txt,flash,INERT,,,,
Disdainful Stroke,azorius_blink_standard.txt,instant,DERIVED,COUNTER_CMC_COND,2,,
Erode,azorius_blink_standard.txt,instant,DERIVED,REMOVAL_DESTROY,1,,
Negate,azorius_blink_standard.txt,instant,DERIVED,COUNTER_NONCREATURE,2,,
Spell Pierce,azorius_blink_standard.txt,instant,DERIVED,COUNTER_NONCREATURE,1,,
Consult the Star Charts,azorius_control_pioneer.txt,instant,INERT,,,,
Dovin's Veto,azorius_control_pioneer.txt,instant,DERIVED,COUNTER_NONCREATURE,2,,
Get Lost,azorius_control_pioneer.txt,instant,DERIVED,REMOVAL_DESTROY,2,,
Kutzil's Flanker,azorius_control_pioneer.txt,flash,UNHANDLED,,,,exile-rider:player's graveyard
March of Otherworldly Light,azorius_control_pioneer.txt,instant,UNHANDLED,,,,x-cost;cost-reduction-static
Memory Deluge,azorius_control_pioneer.txt,instant,INERT,,,,
No More Lies,azorius_control_pioneer.txt,instant,DERIVED,COUNTER_UNLESS_PAY_N,2,,
The Wandering Emperor,azorius_control_pioneer.txt,flash,DERIVED,REMOVAL_EXILE,4,,
Three Steps Ahead,azorius_control_pioneer.txt,instant,UNHANDLED,,,,additional-cost-modes:spree
Get Lost,azorius_control_standard.txt,instant,DERIVED,REMOVAL_DESTROY,2,,
Shardmage's Rescue,azorius_control_standard.txt,flash,INERT,,,,
"Aang, Swift Savior",azorius_high_noon_standard.txt,flash,INERT,,,,
Annul,azorius_high_noon_standard.txt,instant,DERIVED,COUNTER_NONCREATURE,1,,
Aven Interrupter,azorius_high_noon_standard.txt,flash,UNHANDLED,,,,exile-rider:spell
Disdainful Stroke,azorius_high_noon_standard.txt,instant,DERIVED,COUNTER_CMC_COND,2,,
Flashfreeze,azorius_high_noon_standard.txt,instant,UNHANDLED,,,,counter-filter:red or green
Floodpits Drowner,azorius_high_noon_standard.txt,flash,INERT,,,,
Get Lost,azorius_high_noon_standard.txt,instant,DERIVED,REMOVAL_DESTROY,2,,
Pyrrhic Strike,azorius_high_noon_standard.txt,instant,WHITELIST_FALLBACK,,,,destroy-unparsed:Destroy target creature with mana value 3 or greater.
Skycoach Conductor,azorius_high_noon_standard.txt,flash,INERT,,,,
Spectacular Tactics,azorius_high_noon_standard.txt,instant,UNHANDLED,,,,
"Aang, Swift Savior",azorius_high_noon_top20_standard.txt,flash,INERT,,,,
Annul,azorius_high_noon_top20_standard.txt,instant,DERIVED,COUNTER_NONCREATURE,1,,
Aven Interrupter,azorius_high_noon_top20_standard.txt,flash,UNHANDLED,,,,exile-rider:spell
Disdainful Stroke,azorius_high_noon_top20_standard.txt,instant,DERIVED,COUNTER_CMC_COND,2,,
Erode,azorius_high_noon_top20_standard.txt,instant,DERIVED,REMOVAL_DESTROY,1,,
Flashfreeze,azorius_high_noon_top20_standard.txt,instant,UNHANDLED,,,,counter-filter:red or green
Floodpits Drowner,azorius_high_noon_top20_standard.txt,flash,INERT,,,,
Skycoach Conductor,azorius_high_noon_top20_standard.txt,flash,INERT,,,,
Spell Snare,azorius_high_noon_top20_standard.txt,instant,DERIVED,COUNTER_CMC_COND,1,,
The Unagi of Kyoshi Island,azorius_high_noon_top20_standard.txt,flash,INERT,,,,
"Wan Shi Tong, Librarian",azorius_high_noon_top20_standard.txt,flash,INERT,,,,x-cost
Doorkeeper Thrull,azorius_momo_standard.txt,flash,INERT,,,,
Get Lost,azorius_momo_standard.txt,instant,DERIVED,REMOVAL_DESTROY,2,,
Shardmage's Rescue,azorius_momo_standard.txt,flash,INERT,,,,
Get Lost,azorius_omniscience_standard.txt,instant,DERIVED,REMOVAL_DESTROY,2,,
Shardmage's Rescue,azorius_omniscience_standard.txt,flash,INERT,,,,
Annul,azorius_tempo_standard.txt,instant,DERIVED,COUNTER_NONCREATURE,1,,
Doorkeeper Thrull,azorius_tempo_standard.txt,flash,INERT,,,,
Essence Scatter,azorius_tempo_standard.txt,instant,DERIVED,COUNTER_CREATURE,2,,
