card,format,decks_present_in,total_copies,bucket,suggested_registry,oracle_summary
Soul-Guide Lantern,standard,29,48,REGISTERED,ETB,
Disdainful Stroke,standard,28,43,REGISTERED,SPELL+FAMILY,
Annul,standard,21,38,REGISTERED,SPELL,
Spell Pierce,standard,20,34,REGISTERED,SPELL,
Quantum Riddler,standard,18,60,REGISTERED,ETB,
Spell Snare,standard,18,26,REGISTERED,SPELL,
Get Lost,standard,17,50,REGISTERED,SPELL+FAMILY,
Seam Rip,standard,16,44,REGISTERED,ETB,
Duress,standard,16,39,REGISTERED,SPELL,
Ghost Vacuum,standard,16,29,REGISTERED,ETB,
Requiting Hex,standard,14,51,REGISTERED,SPELL,
Burst Lightning,standard,14,48,REGISTERED,SPELL,
Voice of Victory,standard,14,42,REGISTERED,ETB,
Strategic Betrayal,standard,14,32,REGISTERED,SPELL,
Flashfreeze,standard,14,29,REGISTERED,SPELL,
Negate,standard,14,22,REGISTERED,SPELL+FAMILY,
Stormchaser's Talent,standard,13,43,REGISTERED,ETB,
Stock Up,standard,13,41,REGISTERED,SPELL,
Tishana's Tidebinder,standard,13,37,REGISTERED,ETB,
Bitter Triumph,standard,13,28,REGISTERED,SPELL+FAMILY,
Abrade,standard,13,22,REGISTERED,SPELL,
"Wan Shi Tong, Librarian",standard,13,16,REGISTERED,ETB,
Llanowar Elves,standard,12,48,REGISTERED,ETB,
Into the Flood Maw,standard,12,31,REGISTERED,SPELL,
Rest in Peace,standard,12,30,REGISTERED,ETB,
Shoot the Sheriff,standard,12,21,REGISTERED,SPELL,
Badgermole Cub,standard,11,44,REGISTERED,ETB,
Boomerang Basics,standard,11,42,REGISTERED,SPELL,
Floodpits Drowner,standard,11,37,REGISTERED,ETB,
Winternight Stories,standard,11,28,REGISTERED,SPELL,
Pyroclasm,standard,11,21,REGISTERED,SPELL,
Consult the Star Charts,standard,10,32,REGISTERED,SPELL,
Sear,standard,10,21,REGISTERED,SPELL,
Broadside Barrage,standard,10,10,REGISTERED,SPELL,
Deceit,standard,9,33,REGISTERED,ETB,
Three Steps Ahead,standard,9,20,REGISTERED,SPELL+FAMILY,
Spider-Sense,standard,9,19,REGISTERED,SPELL,
Fire Magic,standard,9,16,REGISTERED,SPELL,
Spyglass Siren,standard,8,31,REGISTERED,ETB,
Opt,standard,8,28,REGISTERED,SPELL,
"Kaito, Bane of Nightmares",standard,8,27,REGISTERED,ETB,
Keen-Eyed Curator,standard,8,21,REGISTERED,ETB,
Bounce Off,standard,8,17,REGISTERED,SPELL,
The Unagi of Kyoshi Island,standard,8,8,REGISTERED,ETB,
Ouroboroid,standard,7,25,REGISTERED,ETB,
Erode,standard,7,23,REGISTERED,SPELL,
Enduring Curiosity,standard,7,22,REGISTERED,ETB,
Wistfulness,standard,7,19,REGISTERED,ETB,
"Cecil, Dark Knight",standard,7,17,REGISTERED,ETB,
Nurturing Pixie,standard,7,16,REGISTERED,ETB,
"Ral, Crackling Wit",standard,7,15,REGISTERED,ETB,
Day of Black Sun,standard,7,14,REGISTERED,SPELL,
"Beza, the Bounding Spring",standard,7,13,REGISTERED,ETB,
Intimidation Tactics,standard,7,13,REGISTERED,SPELL,
"Surrak, Elusive Hunter",standard,7,13,REGISTERED,ETB,
Slagstorm,standard,7,11,REGISTERED,SPELL,
Fear of Missing Out,standard,6,24,REGISTERED,ETB,
Sage of the Skies,standard,6,23,REGISTERED,ETB,
Cosmogrand Zenith,standard,6,20,REGISTERED,ETB,
Torch the Tower,standard,6,20,REGISTERED,SPELL+FAMILY,
Deep-Cavern Bat,standard,6,19,REGISTERED,ETB,
No More Lies,standard,6,19,REGISTERED,SPELL,
Sheltered by Ghosts,standard,6,17,REGISTERED,SPELL,
Get Out,standard,6,12,REGISTERED,SPELL,
Eddymurk Crab,standard,5,20,REGISTERED,ETB,
Marauding Mako,standard,5,20,REGISTERED,ETB,
Nature's Rhythm,standard,5,20,REGISTERED,SPELL,
Sleight of Hand,standard,5,20,REGISTERED,SPELL,
Slickshot Show-Off,standard,5,20,REGISTERED,ETB,
Gene Pollinator,standard,5,19,REGISTERED,ETB,
Spider Manifestation,standard,5,18,REGISTERED,ETB,
Flow State,standard,5,17,REGISTERED,SPELL,
Firebending Lesson,standard,5,16,REGISTERED,SPELL,
Meltstrider's Resolve,standard,5,14,REGISTERED,ETB,
Emeritus of Ideation,standard,5,13,REGISTERED,ETB,
Deadly Cover-Up,standard,5,12,REGISTERED,SPELL,
Day of Judgment,standard,5,10,REGISTERED,SPELL,
Nowhere to Run,standard,5,9,REGISTERED,ETB,
Ill-Timed Explosion,standard,5,8,REGISTERED,SPELL,
Craterhoof Behemoth,standard,5,5,REGISTERED,ETB,
Colorstorm Stallion,standard,4,16,REGISTERED,ETB,
Gran-Gran,standard,4,16,REGISTERED,ETB,
"Kona, Rescue Beastie",standard,4,16,REGISTERED,ETB,
Mightform Harmonizer,standard,4,16,REGISTERED,ETB,
"Momo, Friendly Flier",standard,4,16,REGISTERED,ETB,
Vibrance,standard,4,16,REGISTERED,ETB,
Esper Origins,standard,4,15,REGISTERED,SPELL,
Formidable Speaker,standard,4,15,REGISTERED,ETB,
Magebane Lizard,standard,4,15,REGISTERED,ETB,
"Aang, Swift Savior",standard,4,14,REGISTERED,ETB,
Icetill Explorer,standard,4,14,REGISTERED,ETB,
Sunderflock,standard,4,14,REGISTERED,ETB,
Lightning Helix,standard,4,13,REGISTERED,SPELL,
Superior Spider-Man,standard,4,13,REGISTERED,ETB,
Frostcliff Siege,standard,4,12,REGISTERED,ETB,
High Noon,standard,4,12,REGISTERED,ETB,
Clarion Conqueror,standard,4,11,REGISTERED,ETB,
"Elspeth, Storm Slayer",standard,4,11,REGISTERED,ETB,
Flashback,standard,4,10,REGISTERED,SPELL,
Torpor Orb,standard,4,10,REGISTERED,ETB,
Preacher of the Schism,standard,4,9,REGISTERED,ETB,
Prismari Charm,standard,4,8,REGISTERED,SPELL,
Shardmage's Rescue,standard,4,8,REGISTERED,SPELL,
Unable to Scream,standard,4,8,REGISTERED,SPELL,
Exorcise,standard,4,7,REGISTERED,SPELL,
Archdruid's Charm,standard,4,6,REGISTERED,SPELL,
Essence Scatter,standard,4,5,REGISTERED,SPELL,
